,word,tf-idf
0,운동,0.6340556473313509
1,먹다,0.2776454853221133
2,매일,0.199865367093578
3,건강,0.17623596408744072
4,보다,0.17328228871167353
5,관리,0.17328228871167353
6,않다,0.16048302875001583
7,꾸준하다,0.1417764180368238
8,좋다,0.13586906728528947
9,없다,0.13586906728528947
10,아침,0.09747128740031637
11,자다,0.09747128740031637
12,사진,0.09254849510737109
13,걷기,0.08861026127301488
14,생각,0.08861026127301488
15,아니다,0.08467202743865866
16,들다,0.08368746898006961
17,다이어트,0.08270291052148056
18,정도,0.07778011822853528
19,가다,0.07778011822853528
20,홈트,0.07727035937309594
21,시작,0.07187276747700096
22,영상,0.07187276747700096
23,늘다,0.06990365055982285
24,그렇다,0.0689190921012338
25,습관,0.06596541672546663
26,챙기다,0.06498085826687758
27,위해,0.06301174134969947
28,싶다,0.06301174134969947
29,건강하다,0.05907350751534325
30,규칙,0.0580889490567542
31,정말,0.05710439059816515
32,필사,0.05374365206562986
33,산책,0.05340745427258102
34,해보다,0.05119703984663082
35,많다,0.05021248138804176
36,마음,0.05021248138804176
37,쉬다,0.04922792292945271
38,오다,0.04922792292945271
39,새해,0.04868589667368935
40,다이어리,0.04868589667368935
41,중이,0.04824336447086366
42,걸다,0.04824336447086366
43,저녁,0.046274247553685546
44,사람,0.046274247553685546
45,힘들다,0.045289689095096494
46,소개,0.04430513063650744
47,효과,0.04430513063650744
48,줄다,0.04430513063650744
49,걷다,0.04430513063650744
50,이제,0.04036689680215122
51,찍다,0.04036689680215122
52,먹기,0.04036689680215122
53,말다,0.04036689680215122
54,헬스장,0.03938233834356217
55,되어다,0.038397779884973116
56,질문,0.03741322142638406
57,다시,0.036428662967795004
58,지금,0.036428662967795004
59,비타민,0.03544410450920595
60,노력,0.0344595460506169
61,나가다,0.0344595460506169
62,그냥,0.03347498759202784
63,빠지다,0.03347498759202784
64,식단,0.03347498759202784
65,때문,0.03249042913343879
66,나오다,0.03249042913343879
67,일어나다,0.03249042913343879
68,한번,0.03150587067484974
69,해주다,0.03150587067484974
70,두다,0.03150587067484974
71,기구,0.03150587067484974
72,루틴,0.03052131221626068
73,모습,0.03052131221626068
74,다니다,0.03052131221626068
75,중요하다,0.03052131221626068
76,좋아하다,0.03052131221626068
77,맛있다,0.029536753757671626
78,다리,0.029536753757671626
79,보고,0.028552195299082574
80,지키다,0.028552195299082574
81,진짜,0.028552195299082574
82,올리다,0.028552195299082574
83,타임랩스,0.027639592490895353
84,받다,0.027567636840493518
85,쓰다,0.027567636840493518
86,자주,0.027567636840493518
87,나다,0.026583078381904462
88,가장,0.026583078381904462
89,양제,0.026583078381904462
90,점심,0.026583078381904462
91,생활,0.026583078381904462
92,산소,0.026583078381904462
93,만들다,0.02559851992331541
94,날씨,0.02499923391482516
95,돼다,0.024613961464726355
96,목표,0.024613961464726355
97,버리다,0.024613961464726355
98,가끔,0.024613961464726355
99,스트레칭,0.024613961464726355
100,친구,0.024613961464726355
101,일주일,0.024613961464726355
102,등산,0.023685030814227247
103,따뜻하다,0.023629403006137303
104,체력,0.023629403006137303
105,기분,0.023629403006137303
106,요가,0.022726576286204687
107,주다,0.022644844547548247
108,근육,0.022644844547548247
109,안되다,0.022644844547548247
110,빼다,0.022644844547548247
111,맞다,0.02166028608895919
112,스트레스,0.02166028608895919
113,마시기,0.02166028608895919
114,읽다,0.02166028608895919
115,유산균,0.021590247471894454
116,필라테스,0.021590247471894454
117,피티,0.02149746082625194
118,싫다,0.02067572763037014
119,넘다,0.02067572763037014
120,근력,0.02067572763037014
121,이렇다,0.02067572763037014
122,적다,0.02067572763037014
123,끄다,0.02067572763037014
124,라이프,0.02067572763037014
125,자세,0.02067572763037014
126,항상,0.02067572763037014
127,가지,0.02067572763037014
128,비법,0.02045391865758422
129,단식,0.02045391865758422
130,롤러,0.01973752567852271
131,포스팅,0.019691169171781084
132,헐다,0.019691169171781084
133,내일,0.019691169171781084
134,찌다,0.019691169171781084
135,아프다,0.019691169171781084
136,뛰다,0.01870661071319203
137,커피,0.01870661071319203
138,실천,0.01870661071319203
139,사실,0.01870661071319203
140,사용,0.01870661071319203
141,꾸리,0.018187727339776832
142,느낌,0.017722052254602976
143,수영,0.017722052254602976
144,따르다,0.017722052254602976
145,자전거,0.017722052254602976
146,음식,0.017722052254602976
147,행복하다,0.017722052254602976
148,공복,0.017722052254602976
149,주차,0.017105855588053012
150,레시피,0.017105855588053012
151,먹음,0.017105855588053012
152,새벽,0.017044932214653516
153,어제,0.01673749379601392
154,도움,0.01673749379601392
155,살이,0.01673749379601392
156,즐기다,0.01673749379601392
157,크다,0.01673749379601392
158,가슴,0.01673749379601392
159,계속,0.01673749379601392
160,넣다,0.01673749379601392
161,알다,0.01673749379601392
162,대단하다,0.01590860340034328
163,하늘,0.015790020542818167
164,애용,0.015790020542818167
165,유지,0.01575293533742487
166,예쁘다,0.01575293533742487
167,여름,0.01575293533742487
168,퇴근,0.01575293533742487
169,모르다,0.01575293533742487
170,정리,0.01575293533742487
171,찾다,0.01575293533742487
172,카페,0.01575293533742487
173,눕다,0.01575293533742487
174,조만간,0.01535532916160853
175,홈트용,0.01535532916160853
176,계단,0.014772274586033047
177,청소,0.014772274586033047
178,반복,0.014772274586033047
179,스쿼트,0.014772274586033047
180,보기,0.014768376878835813
181,제일,0.014768376878835813
182,추천,0.014768376878835813
183,앉다,0.014768376878835813
184,귀찮다,0.014768376878835813
185,만나다,0.014768376878835813
186,출근,0.014768376878835813
187,어렵다,0.014768376878835813
188,느끼다,0.014768376878835813
