,word,tf-idf
0,안되다,0.33601927235344137
1,연결,0.2998653000116154
2,알림,0.24882439788197871
3,사용,0.2466976936265772
4,없다,0.18289656596453135
5,어플,0.17438974894292525
6,등록,0.15950281915511455
7,설정,0.15737611489971304
8,기능,0.1552494106443115
9,코스,0.15312270638890998
10,제품,0.1467425936227054
11,좋다,0.14036248085650083
12,않다,0.1318556638348947
13,와이파이,0.1318556638348947
14,오다,0.12547555106869013
15,세탁기,0.12547555106869013
16,건조기,0.1233488468132886
17,뜨다,0.11484202979168248
18,알다,0.11271532553628096
19,에어컨,0.1084619170254779
20,쓰다,0.1084619170254779
21,이르다,0.10420850851467485
22,자다,0.0999551000038718
23,보다,0.09782839574847027
24,확인,0.09782839574847027
25,다시,0.09782839574847027
26,실행,0.08932157872686415
27,되어다,0.08719487447146262
28,계속,0.08294146596065957
29,다운로드,0.08294146596065957
30,받다,0.08294146596065957
31,스타,0.07656135319445499
32,업데이트,0.07656135319445499
33,해주다,0.07443464893905347
34,완료,0.07018124042825041
35,알람,0.07018124042825041
36,스마트,0.06805453617284889
37,돼다,0.06805453617284889
38,삭제,0.06592783191744735
39,제어,0.05954771915124277
40,아니다,0.05954771915124277
41,켜다,0.055294310640439714
42,건지다,0.055294310640439714
43,그렇다,0.05316760638503819
44,개선,0.05316760638503819
45,상태,0.05104090212963666
46,기존,0.04909074324326392
47,엘지,0.048914197874235135
48,써다,0.048914197874235135
49,불편하다,0.0467874936188336
50,들어가다,0.0467874936188336
51,접속,0.0467874936188336
52,바꾸다,0.0467874936188336
53,설치,0.04663620608110072
54,나오다,0.044660789363432075
55,오류,0.044660789363432075
56,해보다,0.044660789363432075
57,자꾸,0.044660789363432075
58,만들다,0.044660789363432075
59,로그인,0.04418166891893753
60,해도,0.04418166891893753
61,문제,0.04253408510803055
62,많다,0.04253408510803055
63,추가,0.04253408510803055
64,연결하다,0.04253408510803055
65,가능하다,0.04253408510803055
66,빨래,0.04172713175677433
67,해제,0.04040738085262902
68,세탁,0.04040738085262902
69,서버,0.04040738085262902
70,건조,0.04040738085262902
71,전원,0.038280676597227496
72,깔다,0.038280676597227496
73,해결,0.03681805743244795
74,정보,0.03615397234182597
75,이렇다,0.03615397234182597
76,선택,0.03615397234182597
77,이후,0.03615397234182597
78,연동,0.03615397234182597
79,쓸다,0.03615397234182597
80,느리다,0.03615397234182597
81,갑자기,0.03615397234182597
82,편리하다,0.03436352027028474
83,넘다,0.03402726808642444
84,모르다,0.03402726808642444
85,읽다,0.03402726808642444
86,돌리다,0.03402726808642444
87,잘쓰다,0.03402726808642444
88,없어지다,0.03190898310812155
89,종료,0.03190056383102291
90,작동,0.03190056383102291
91,차다,0.03190056383102291
92,누르다,0.03190056383102291
93,자체,0.03190056383102291
94,온도,0.03190056383102291
95,푸시,0.03126509312133164
96,설명,0.029773859575621384
97,기기,0.029773859575621384
98,모드,0.029773859575621384
99,사용자,0.029773859575621384
100,응답,0.029773859575621384
101,가요,0.029773859575621384
102,정말,0.029773859575621384
103,냉장고,0.029773859575621384
104,넣다,0.029773859575621384
105,새롭다,0.029773859575621384
106,표시,0.029454445945958356
107,서다,0.029454445945958356
108,생각,0.027647155320219857
109,편하다,0.027647155320219857
110,바뀌다,0.027647155320219857
111,가전,0.027647155320219857
112,네트워크,0.027647155320219857
113,진짜,0.027647155320219857
114,다운,0.027647155320219857
115,교복,0.02750059354475722
116,케어,0.026999908783795157
117,유용하다,0.026999908783795157
118,비번,0.026999908783795157
119,끝나다,0.026999908783795157
120,최근,0.025580530735634974
121,날씨,0.025580530735634974
122,울리다,0.025580530735634974
123,답변,0.02552045106481833
124,때문,0.02552045106481833
125,원격,0.02552045106481833
126,가다,0.02552045106481833
127,꺼지다,0.02552045106481833
128,핸드폰,0.02552045106481833
129,보내다,0.02454537162163196
130,정상,0.02454537162163196
131,예약,0.0233937468094168
132,빠르다,0.0233937468094168
133,끊기다,0.0233937468094168
134,메일,0.0233937468094168
135,필요하다,0.0233937468094168
136,지금,0.0233937468094168
137,리뷰,0.0233937468094168
138,보고,0.0233937468094168
139,매우,0.022090834459468765
140,계정,0.022090834459468765
141,공기청정기,0.021267042554015275
142,블루투스,0.021267042554015275
143,경우,0.021267042554015275
144,구입,0.021267042554015275
145,들다,0.021267042554015275
146,정도,0.021267042554015275
147,버튼,0.021267042554015275
148,푸다,0.01990104919796202
149,필요없다,0.01990104919796202
150,순서,0.019895968349938318
151,열다,0.019895968349938318
152,모피,0.019643281103398014
153,서비스,0.01963629729730557
154,변경,0.01963629729730557
155,수정,0.019140338298613748
156,걸리다,0.019140338298613748
157,한번,0.019140338298613748
158,공유기,0.019140338298613748
159,소리,0.019140338298613748
160,자동,0.019140338298613748
161,아쉽다,0.019140338298613748
162,기다리다,0.019140338298613748
163,속도,0.019140338298613748
164,관리,0.019140338298613748
165,고객,0.019140338298613748
166,약관,0.019140338298613748
167,진단,0.019140338298613748
168,지우다,0.019140338298613748
169,모델,0.019140338298613748
170,시대,0.01718176013514237
171,전력량,0.01718176013514237
172,오지,0.01718176013514237
173,버전,0.01718176013514237
174,사라지다,0.01718176013514237
175,작년,0.017053687157089985
176,끄다,0.01701363404321222
177,로봇청소기,0.01701363404321222
178,제대로,0.01701363404321222
179,전혀,0.01701363404321222
180,두다,0.01701363404321222
181,티비,0.01701363404321222
182,주다,0.01701363404321222
183,맞다,0.01701363404321222
184,방법,0.01701363404321222
185,정수기,0.01701363404321222
186,버리다,0.01701363404321222
187,싶다,0.01701363404321222
188,시도,0.01701363404321222
